brand,country_founding,year_founding
8Greens,United States,2015
AERIN,,
ALTERNA Haircare,,
AMOREPACIFIC,,
Acqua Di Parma,,
Aether Beauty,,
Algenist,,
Alpha-H,,
Anastasia Beverly Hills,,
Anthony,,
Antonym,,
Aquis,,
Armani Beauty,,
Artis,,
Artist Couture,,
Atelier Cologne,,
BALENCIAGA,,
BECCA,,
BERDOUES,,
BURBERRY,,
BVLGARI,,
Beachwaver,,
BeautyBio,,
Benefit Cosmetics,,
Better Not Younger,,
Bio Ionic,,
Biossance,,
Bite Beauty,,
Black Up,,
Blinc,,
Bobbi Brown,,
Briogeo,,
Bumble and bumble,,
Buxom,,
By Rosie Jane,,
Bésame Cosmetics,,
CHANEL,,
CLEAN RESERVE,,
CLINIQUE,,
COOLA,,
COVER FX,,
Calvin Klein,,
Capri Blue,,
Carolina Herrera,,
Caudalie,,
Cellu-cup,,
Charlotte Tilbury,,
Chloé,,
Christian Louboutin,,
Christophe Robin,,
Ciaté London,,
Cinema Secrets,,
Clarins,,
Clarisonic Skincare,,
Coal and Canary,,
Cocofloss,,
Commodity,,
Comptoir Sud Pacifique,,
Conture,,
Crushed Tonic,,
DEREK LAM 10 CROSBY,,
DERMAFLASH,,
DL.MD,,
DOLCE&GABBANA,,
DOMINIQUE COSMETICS,,
DUO,,
Deborah Lippmann,,
Dermalogica,,
DevaCurl,,
Dior,,
Donna Karan,,
Dr Roebuck's,,
Dr. Barbara Sturm,,
Dr. Brandt Skincare,,
Dr. Dennis Gross Skincare,,
Dr. Jart+,,
Drunk Elephant,,
Drybar,,
ELLIS BROOKLYN,,
Earth’s Nectar,,
Edible Beauty,,
Eight & Bob,,
Elizabeth and James,,
Erborian,,
Erno Laszlo,,
Estée Lauder,,
Etat Libre d'Orange,,
Eve Lom,,
Evian,,
FARSÁLI,,
FENTY BEAUTY by Rihanna,,
FOREO,,
FORM,,
Fable & Mane,,
Farmacy,,
First Aid Beauty,,
Flora + Bast,,
Floral Street,,
Four Sigmatic,,
Fresh,,
GLAMGLOW,,
GLO Science,,
Givenchy,,
Glow Recipe,,
Golde,,
Good Dye Young,,
Google,,
Grande Cosmetics,,
Gucci,,
Guerlain,,
HERMÈS,,
HUDA BEAUTY,,
HUM Nutrition,,
Herbivore,,
High Beauty,,
Hourglass,,
IGK,,
ILIA,,
INC.redible,,
IT Cosmetics,,
Indie Lee,,
Isle of Paradise,,
JIMMY CHOO,,
Jack Black,,
Jillian Dempsey,,
Jo Malone London,,
John Varvatos,,
Josie Maran,,
Jouer Cosmetics,,
Juicy Couture,,
Juliette Has a Gun,,
KENZOKI,,
KEVYN AUCOIN,,
KNC Beauty,,
KORA Organics,,
KORRES,,
KVD Vegan Beauty,,
Kaja,,
Kate Somerville,,
Kenzo,,
Kiehl's Since 1851,,
Kilian,,
Kitsch,,
Klorane,,
Koh Gen Do,,
Kopari,,
Kosas,,
Kérastase,,
L'Occitane,,
LANCER Skincare,,
LANEIGE,,
LASHFOOD,,
LAVANILA,,
LAWLESS,,
LXMI,,
La Mer,,
Lab Series For Men,,
Lancôme,,
Laura Mercier,,
LightStim,,
Lilly Lashes,,
Living Proof,,
Lord Jones,,
Lunar Beauty,,
MAELYS Cosmetics,,
MAKE UP FOR EVER,,
MDSolarSciences,,
MILK MAKEUP,,
Madam C.J. Walker Beauty Culture,,
Maison Louis Marie,,
Maison Margiela,,
Makeup Eraser,,
Marc Jacobs Beauty,,
Marc Jacobs Fragrances,,
Mario Badescu,,
Marvis,,
Melt Cosmetics,,
Michael Kors,,
Miu Miu,,
Mizani,,
Montblanc,,
Moon Juice,,
Moroccanoil,,
Moschino,,
Mount Lai,,
Mugler,,
Murad,,
NAILS INC.,,
NARS,,
NEST New York,,
NUDESTIX,,
Narciso Rodriguez,,
Natasha Denona,,
Naturally Serious,,
NuFACE,,
Nurse Jamie,,
O&M,,
OLEHENRIKSEN,,
OUAI,,
Obagi Clinical,,
Olaplex,,
Omorovicza,,
Origins,,
Overose,,
PAT McGRATH LABS,,
PATRICK TA,,
PHLUR,,
PINROSE,,
PLAY! by SEPHORA,,
PMD,,
Paco Rabanne,,
Peace Out,,
Perricone MD,,
Peter Thomas Roth,,
Pink Sugar,,
Playa,,
Prada,,
Pretty Vulgar,,
Prima,,
Primera,,
Proactiv,,
Qhemet Biologics,,
REN Clean Skincare,,
RODIN olio lusso,,
ROEN BEAUTY,,
Rahua,,
Ralph Lauren,,
ReFa,,
Reverie,,
Rita Hazan,,
Rosebud Perfume Co.,,
Rossano Ferretti Parma,,
SEPHORA COLLECTION,,
SHHHOWERCAP,,
SK-II,,
SKYLAR,,
SOBEL SKIN Rx,,
STELLAR,,
SUNDAY RILEY,,
Sachajuan,,
Saint Jane Beauty,,
Sakara Life,,
Saturday Skin,,
Seed Phytonutrients,,
Sephora Favorites,,
Shani Darden Skin Care,,
Shaveworks,,
Shiseido,,
Skin Inc Supplement Bar,,
Skin Laundry,,
Skinfix,,
Slip,,
Smashbox,,
Sol de Janeiro,,
St. Tropez,,
StackedSkincare,,
Sulwhasoo,,
Summer Fridays,,
Supergoop!,,
T3,,
TAN-LUXE,,
TOCCA,,
TOM FORD,,
TWEEZERMAN,,
Taste Beauty,,
Tata Harper,,
Tatcha,,
The 7 Virtues,,
The Art of Shaving,,
The Beauty Chef,,
The INKEY List,,
The Ordinary,,
Together Beauty,,
TokyoMilk,,
Too Cool For School,,
Too Faced,,
Tory Burch,,
Touch In Sol,,
Tower 28 Beauty,,
Urban Decay,,
VOLUSPA,,
Valentino,,
Velour Lashes,,
Verb,,
Versace,,
Viktor&Rolf,,
Violet Voss,,
Virtue,,
Viseart,,
Vital Proteins,,
Vitruvi,,
Volition Beauty,,
Wander Beauty,,
WelleCo,,
Winky Lux,,
Wishful,,
YUNI,,
Youth To The People,,
Yves Saint Laurent,,
alpyn beauty,,
amika,,
bareMinerals,,
beautyblender,,
belif,,
bkr,,
boscia,,
dae,,
dpHUE,,
dyson,,
ghd,,
goop,,
innisfree,,
invisibobble,,
kate spade new york,,
lilah b.,,
lululemon selfcare,,
philosophy,,
rag & bone,,
rms beauty,,
shu uemura,,
stila,,
surratt beauty,,
tarte,,
trèStiQue,,
