"category","univers_produit"
"Accessories","Other"
"After Sun Care","Other"
"Aftershave","Other"
"Anti-Aging","Skincare"
"BB & CC Cream","Skincare"
"BB & CC Creams","Skincare"
"Bath & Body","Bath & Body"
"Bath & Shower","Bath & Body"
"Bath Soaks & Bubble Bath","Bath & Body"
"Beauty Supplements","Wellness & Other"
"Blemish & Acne Treatments","Skincare"
"Blotting Papers","Other"
"Blush","Makeup"
"Body Lotions & Body Oils","Bath & Body"
"Body Mist & Hair Mist","Hair"
"Body Moisturizers","Bath & Body"
"Body Products","Bath & Body"
"Body Sprays & Deodorant","Bath & Body"
"Body Sunscreen","Bath & Body"
"Body Wash & Shower Gel","Bath & Body"
"Bronzer","Makeup"
"Brush Cleaners","Tools & Accessories"
"Brush Sets","Tools & Accessories"
"Candles","Wellness & Other"
"Candles & Home Scents","Wellness & Other"
"Cellulite & Stretch Marks","Other"
"Cheek Palettes","Makeup"
"Cleansing Brushes","Tools & Accessories"
"Cologne","Fragrance"
"Cologne Gift Sets","Fragrance"
"Color Care","Hair"
"Color Correct","Other"
"Concealer","Makeup"
"Conditioner","Hair"
"Contour","Other"
"Curling Irons","Tools & Accessories"
"Curls & Coils","Hair"
"Decollete & Neck Creams","Skincare"
"Deodorant & Antiperspirant","Bath & Body"
"Deodorant for Men","Bath & Body"
"Diffusers","Wellness & Other"
"Dry Shampoo","Hair"
"Exfoliators","Other"
"Eye Brushes","Tools & Accessories"
"Eye Cream","Skincare"
"Eye Creams & Treatments","Skincare"
"Eye Masks","Skincare"
"Eye Palettes","Makeup"
"Eye Primer","Makeup"
"Eye Sets","Makeup"
"Eyebrow","Makeup"
"Eyelash Curlers","Makeup"
"Eyeliner","Makeup"
"Eyeshadow","Makeup"
"Face Brushes","Tools & Accessories"
"Face Masks","Skincare"
"Face Oils","Other"
"Face Primer","Other"
"Face Serums","Skincare"
"Face Sets","Other"
"Face Sunscreen","Skincare"
"Face Wash","Skincare"
"Face Wash & Cleansers","Skincare"
"Face Wipes","Other"
"Facial Cleansing Brushes","Tools & Accessories"
"Facial Peels","Skincare"
"Facial Rollers","Other"
"False Eyelashes","Makeup"
"For Body","Bath & Body"
"For Face","Other"
"Foundation","Makeup"
"Fragrance","Fragrance"
"Hair","Hair"
"Hair Accessories","Hair"
"Hair Brushes & Combs","Tools & Accessories"
"Hair Dryers","Tools & Accessories"
"Hair Masks","Skincare"
"Hair Oil","Hair"
"Hair Primers","Hair"
"Hair Products","Hair"
"Hair Removal","Hair"
"Hair Removal & Shaving","Hair"
"Hair Spray","Hair"
"Hair Straighteners & Flat Irons","Tools & Accessories"
"Hair Styling & Treatments","Skincare"
"Hair Styling Products","Hair"
"Hair Thinning & Hair Loss","Hair"
"Hand Cream & Foot Cream","Skincare"
"High Tech Tools","Tools & Accessories"
"Highlighter","Makeup"
"Holistic Wellness","Wellness & Other"
"Leave-In Conditioner","Hair"
"Lid Shadow Brush","Tools & Accessories"
"Lip Balm & Treatment","Skincare"
"Lip Balms & Treatments","Skincare"
"Lip Brushes","Tools & Accessories"
"Lip Gloss","Makeup"
"Lip Liner","Makeup"
"Lip Plumper","Makeup"
"Lip Sets","Makeup"
"Lip Stain","Makeup"
"Lip Sunscreen","Skincare"
"Lip Treatments","Skincare"
"Lipstick","Makeup"
"Liquid Lipstick","Makeup"
"Lotions & Oils","Other"
"Makeup","Other"
"Makeup & Travel Cases","Other"
"Makeup Bags & Travel Cases","Other"
"Makeup Palettes","Makeup"
"Makeup Removers","Other"
"Mascara","Makeup"
"Mini Size","Wellness & Other"
"Mirrors & Sharpeners","Tools & Accessories"
"Mists & Essences","Other"
"Moisturizer & Treatments","Skincare"
"Moisturizers","Other"
"Nail","Makeup"
"Night Creams","Skincare"
"Perfume","Fragrance"
"Perfume Gift Sets","Fragrance"
"Powder Brush","Tools & Accessories"
"Rollerballs & Travel Size","Fragrance"
"Scalp & Hair Treatments","Skincare"
"Scrub & Exfoliants","Other"
"Self Tanners","Other"
"Setting Spray & Powder","Other"
"Shampoo","Hair"
"Shampoo & Conditioner","Hair"
"Shaving","Bath & Body"
"Sheet Masks","Skincare"
"Skincare","Other"
"Skincare Sets","Other"
"Spa Tools","Tools & Accessories"
"Sponges & Applicators","Tools & Accessories"
"Sunscreen","Skincare"
"Teeth Whitening","Other"
"Tinted Moisturizer","Other"
"Toners","Other"
"Tweezers & Eyebrow Tools","Tools & Accessories"
"Value & Gift Sets","Other"
"Wellness","Wellness & Other"
"no category","Other"
